block,timestamp,time_utc,user_tx_count,user_gas_used,l1_data_gas,reverted_gas,reverted_tx_count
55630000,1788662655,2026-09-06T02:44:15Z,7,4491029,1822,0,0
55642000,1788663865,2026-09-06T03:04:25Z,13,1995358,0,372663,2
55654000,1788665074,2026-09-06T03:24:34Z,8,1646319,0,0,0
55666000,1788666285,2026-09-06T03:44:45Z,8,1481049,0,0,0
55678000,1788667496,2026-09-06T04:04:56Z,38,5826400,5660,0,0
55690000,1788668707,2026-09-06T04:25:07Z,5,1877973,0,0,0
55702000,1788669917,2026-09-06T04:45:17Z,16,4320244,0,0,0
55714000,1788671125,2026-09-06T05:05:25Z,39,6609521,0,1901216,15
55726000,1788672333,2026-09-06T05:25:33Z,9,1949699,0,720788,3
55738000,1788673543,2026-09-06T05:45:43Z,3,4387126,0,0,0
