l1_timestamp,l1_time_utc,posting_delay_newest_s,selector
1788979271,2026-09-09T18:41:11Z,26,0x3e5aa082
1788980471,2026-09-09T19:01:11Z,22,0x3e5aa082
1788981671,2026-09-09T19:21:11Z,17,0x3e5aa082
1788982871,2026-09-09T19:41:11Z,23,0x3e5aa082
1788984071,2026-09-09T20:01:11Z,14,0x917cf8ac
1788985283,2026-09-09T20:21:23Z,15,0x3e5aa082
1788986495,2026-09-09T20:41:35Z,21,0x3e5aa082
1788987719,2026-09-09T21:01:59Z,27,0x3e5aa082
1788988919,2026-09-09T21:21:59Z,17,0x3e5aa082
1788990143,2026-09-09T21:42:23Z,24,0x3e5aa082
1788991343,2026-09-09T22:02:23Z,11,0x3e5aa082
1788992555,2026-09-09T22:22:35Z,27,0x3e5aa082
1788993767,2026-09-09T22:42:47Z,18,0x3e5aa082
1788994979,2026-09-09T23:02:59Z,22,0x3e5aa082
1788996179,2026-09-09T23:22:59Z,16,0x3e5aa082
1788997391,2026-09-09T23:43:11Z,19,0x3e5aa082
1788998591,2026-09-10T00:03:11Z,19,0x3e5aa082
1788999815,2026-09-10T00:23:35Z,27,0x917cf8ac
1789001015,2026-09-10T00:43:35Z,14,0x3e5aa082
1789002215,2026-09-10T01:03:35Z,16,0x3e5aa082
1789003427,2026-09-10T01:23:47Z,13,0x3e5aa082
1789004627,2026-09-10T01:43:47Z,18,0x3e5aa082
1789005827,2026-09-10T02:03:47Z,24,0x3e5aa082
1789007039,2026-09-10T02:23:59Z,13,0x3e5aa082
1789008251,2026-09-10T02:44:11Z,22,0x3e5aa082
1789009451,2026-09-10T03:04:11Z,25,0x3e5aa082
1789010663,2026-09-10T03:24:23Z,17,0x3e5aa082
1789011863,2026-09-10T03:44:23Z,15,0x3e5aa082
1789013075,2026-09-10T04:04:35Z,28,0x3e5aa082
1789014275,2026-09-10T04:24:35Z,12,0x3e5aa082
1789015487,2026-09-10T04:44:47Z,20,0x3e5aa082
1789016711,2026-09-10T05:05:11Z,20,0x917cf8ac
1789017923,2026-09-10T05:25:23Z,22,0x3e5aa082
1789019135,2026-09-10T05:45:35Z,27,0x3e5aa082
1789020335,2026-09-10T06:05:35Z,19,0x3e5aa082
1789021535,2026-09-10T06:25:35Z,17,0x3e5aa082
1789022747,2026-09-10T06:45:47Z,21,0x3e5aa082
1789023947,2026-09-10T07:05:47Z,24,0x3e5aa082
1789025159,2026-09-10T07:25:59Z,23,0x3e5aa082
1789026371,2026-09-10T07:46:11Z,17,0x3e5aa082
1789027571,2026-09-10T08:06:11Z,22,0x3e5aa082
1789028795,2026-09-10T08:26:35Z,18,0x3e5aa082
1789029995,2026-09-10T08:46:35Z,10,0x3e5aa082
1789031195,2026-09-10T09:06:35Z,16,0x3e5aa082
1789032407,2026-09-10T09:26:47Z,14,0x3e5aa082
1789033607,2026-09-10T09:46:47Z,24,0x917cf8ac
1789034807,2026-09-10T10:06:47Z,13,0x3e5aa082
1789036007,2026-09-10T10:26:47Z,21,0x3e5aa082
1789037231,2026-09-10T10:47:11Z,16,0x3e5aa082
1789038455,2026-09-10T11:07:35Z,22,0x3e5aa082
1789039679,2026-09-10T11:27:59Z,23,0x3e5aa082
1789040879,2026-09-10T11:47:59Z,39,0x3e5aa082
1789042079,2026-09-10T12:07:59Z,19,0x3e5aa082
1789043291,2026-09-10T12:28:11Z,22,0x3e5aa082
1789044503,2026-09-10T12:48:23Z,244,0x3e5aa082
1789045727,2026-09-10T13:08:47Z,46,0x3e5aa082
1789046939,2026-09-10T13:28:59Z,23,0x3e5aa082
1789048139,2026-09-10T13:48:59Z,20,0x3e5aa082
1789049339,2026-09-10T14:08:59Z,45,0x3e5aa082
1789050539,2026-09-10T14:28:59Z,42,0x3e5aa082
1789051751,2026-09-10T14:49:11Z,29,0x3e5aa082
1789052963,2026-09-10T15:09:23Z,34,0x3e5aa082
1789054163,2026-09-10T15:29:23Z,22,0x3e5aa082
1789055375,2026-09-10T15:49:35Z,31,0x3e5aa082
1789056575,2026-09-10T16:09:35Z,19,0x3e5aa082
1789057775,2026-09-10T16:29:35Z,32,0x3e5aa082
1789058987,2026-09-10T16:49:47Z,22,0x3e5aa082
1789060187,2026-09-10T17:09:47Z,21,0x3e5aa082
1789061399,2026-09-10T17:29:59Z,29,0x3e5aa082
1789062599,2026-09-10T17:49:59Z,23,0x3e5aa082
1789063823,2026-09-10T18:10:23Z,185,0x3e5aa082
1789065023,2026-09-10T18:30:23Z,101,0x3e5aa082
1789066223,2026-09-10T18:50:23Z,23,0x3e5aa082
1789067423,2026-09-10T19:10:23Z,68,0x3e5aa082
1789068623,2026-09-10T19:30:23Z,82,0x3e5aa082
1789069823,2026-09-10T19:50:23Z,32,0x3e5aa082
1789071023,2026-09-10T20:10:23Z,24,0x3e5aa082
1789072235,2026-09-10T20:30:35Z,28,0x3e5aa082
1789073435,2026-09-10T20:50:35Z,21,0x3e5aa082
1789074635,2026-09-10T21:10:35Z,22,0x3e5aa082
1789075835,2026-09-10T21:30:35Z,21,0x3e5aa082
1789077035,2026-09-10T21:50:35Z,20,0x3e5aa082
1789078235,2026-09-10T22:10:35Z,21,0x3e5aa082
